Title,Description,Categories,Locations,Address,Zip,Price,Website,Video Url,Views,Reviews,Email,Phone,Fax,Map Longitude,Map Latitude,Image
Cozy Family Restaurant,A stunning condo with breathtaking city views and modern amenities.,Business Listing,"Chicago, USA",789 Oak St,60601,17783,https://www.business.com,https://www.youtube.com/watch?v=KJ2y6Ln-sU0,1006,177,sales@realestate.com,+1-555-8765,+1-555-4444,-87.6298,41.8781,https://adirectory.io/bizlist/wp-content/uploads/2024/06/Rectangle-40064-1.jpg
Urban Loft Apartment,A retail shop space available in a high-foot-traffic shopping mall.,Real Estate,"Houston, USA",321 Maple Ave,60601,19108,https://www.business.com,https://www.youtube.com/watch?v=KJ2y6Ln-sU0,1556,122,support@restaurant.com,+1-555-5678,+1-555-1111,-95.3698,29.7604,https://adirectory.io/bizlist/wp-content/uploads/2024/06/banner-property-3-1.jpg
Downtown Luxury Condo,A retail shop space available in a high-foot-traffic shopping mall.,Real Estate,"Boston, USA",654 Pine Rd,60601,19421,https://www.business.com,https://www.youtube.com/watch?v=KJ2y6Ln-sU0,688,496,sales@realestate.com,+1-555-4321,+1-555-3333,-71.0589,42.3601,https://adirectory.io/bizlist/wp-content/uploads/2024/06/Rectangle-40064-1.jpg
Gourmet Fine Dining,"A stylish loft apartment in the heart of the city, perfect for professionals.",Restaurant,"New York, USA",789 Oak St,90001,17101,https://www.business.com,https://www.youtube.com/watch?v=KJ2y6Ln-sU0,937,76,sales@realestate.com,+1-555-9876,+1-555-2222,-74.006,40.7128,https://adirectory.io/bizlist/wp-content/uploads/2024/06/Rectangle-40065-1.jpg
Countryside Bed & Breakfast,"A luxurious villa with direct beach access, perfect for vacations and retreats.",Real Estate,"Miami, USA",123 Main St,33101,5313,https://www.example.com,https://www.youtube.com/watch?v=KJ2y6Ln-sU0,4468,399,support@restaurant.com,+1-555-5678,+1-555-3333,-80.1918,25.7617,https://adirectory.io/bizlist/wp-content/uploads/2024/06/banner-property-1.jpg
Boutique Cafe & Bakery,A charming cafe and bakery with fresh pastries and artisan coffee.,Restaurant,"New York, USA",789 Oak St,90001,4748,https://www.business.com,https://www.youtube.com/watch?v=KJ2y6Ln-sU0,4262,468,support@restaurant.com,+1-555-8765,+1-555-2222,-74.006,40.7128,https://adirectory.io/bizlist/wp-content/uploads/2024/06/Rectangle-40064-1.jpg
Beachfront Villa,A prime location commercial space available for businesses and startups.,Restaurant,"San Francisco, USA",321 Maple Ave,10001,19172,https://www.restaurant.com,https://www.youtube.com/watch?v=KJ2y6Ln-sU0,2530,167,info@example.com,+1-555-4321,+1-555-2222,-122.4194,37.7749,https://adirectory.io/bizlist/wp-content/uploads/2024/06/banner-property-3-1.jpg
Beachfront Villa,"A luxurious villa with direct beach access, perfect for vacations and retreats.",Real Estate,"Houston, USA",321 Maple Ave,33101,16767,https://www.restaurant.com,https://www.youtube.com/watch?v=KJ2y6Ln-sU0,4470,39,support@restaurant.com,+1-555-9876,+1-555-2222,-95.3698,29.7604,https://adirectory.io/bizlist/wp-content/uploads/2024/06/banner-property-1.jpg
Retail Shop in Mall,A prime location commercial space available for businesses and startups.,Real Estate,"Chicago, USA",123 Main St,60601,1777,https://www.restaurant.com,https://www.youtube.com/watch?v=KJ2y6Ln-sU0,796,454,sales@realestate.com,+1-555-5678,+1-555-2222,-87.6298,41.8781,https://adirectory.io/bizlist/wp-content/uploads/2024/06/Rectangle-40064-1.jpg
Downtown Luxury Condo,A well-established family restaurant known for its home-cooked meals.,Restaurant,"Dallas, USA",321 Maple Ave,77001,7674,https://www.business.com,https://www.youtube.com/watch?v=KJ2y6Ln-sU0,764,489,contact@business.com,+1-555-5678,+1-555-3333,-96.797,32.7767,https://adirectory.io/bizlist/wp-content/uploads/2024/06/Rectangle-40053-1.jpg
Boutique Cafe & Bakery,A well-established family restaurant known for its home-cooked meals.,Restaurant,"New York, USA",654 Pine Rd,33101,3071,https://www.business.com,https://www.youtube.com/watch?v=KJ2y6Ln-sU0,1845,202,contact@business.com,+1-555-9876,+1-555-4444,-74.006,40.7128,https://adirectory.io/bizlist/wp-content/uploads/2024/06/Rectangle-40064-1.jpg
Spacious Office for Rent,A cozy and picturesque B&B with stunning countryside views.,Real Estate,"Chicago, USA",654 Pine Rd,60601,18604,https://www.restaurant.com,https://www.youtube.com/watch?v=KJ2y6Ln-sU0,3829,264,contact@business.com,+1-555-9876,+1-555-2222,-87.6298,41.8781,https://adirectory.io/bizlist/wp-content/uploads/2024/06/Rectangle-40053-1.jpg
Cozy Family Restaurant,A fully furnished office space ideal for small to mid-sized businesses.,Real Estate,"Chicago, USA",789 Oak St,77001,7006,https://www.business.com,https://www.youtube.com/watch?v=KJ2y6Ln-sU0,1502,24,contact@business.com,+1-555-9876,+1-555-1111,-87.6298,41.8781,https://adirectory.io/bizlist/wp-content/uploads/2024/06/banner-property-3-1.jpg
Retail Shop in Mall,An upscale restaurant offering a gourmet dining experience with top chefs.,Business Listing,"Chicago, USA",654 Pine Rd,90001,9429,https://www.business.com,https://www.youtube.com/watch?v=KJ2y6Ln-sU0,1833,318,support@restaurant.com,+1-555-5678,+1-555-4444,-87.6298,41.8781,https://adirectory.io/bizlist/wp-content/uploads/2024/06/banner-property-3-1.jpg
Spacious Office for Rent,A fully furnished office space ideal for small to mid-sized businesses.,Business Listing,"Houston, USA",123 Main St,90001,16236,https://www.restaurant.com,https://www.youtube.com/watch?v=KJ2y6Ln-sU0,4337,196,sales@realestate.com,+1-555-4321,+1-555-2222,-95.3698,29.7604,https://adirectory.io/bizlist/wp-content/uploads/2024/06/banner-property-1.jpg
Commercial Space for Lease,"A luxurious villa with direct beach access, perfect for vacations and retreats.",Restaurant,"Atlanta, USA",321 Maple Ave,60601,16401,https://www.restaurant.com,https://www.youtube.com/watch?v=KJ2y6Ln-sU0,551,393,info@example.com,+1-555-8765,+1-555-1111,-84.388,33.749,https://adirectory.io/bizlist/wp-content/uploads/2024/06/banner-property-1.jpg
Gourmet Fine Dining,A well-established family restaurant known for its home-cooked meals.,Restaurant,"Miami, USA",789 Oak St,77001,11682,https://www.business.com,https://www.youtube.com/watch?v=KJ2y6Ln-sU0,3879,474,contact@business.com,+1-555-4321,+1-555-5555,-80.1918,25.7617,https://adirectory.io/bizlist/wp-content/uploads/2024/06/Rectangle-40053-1.jpg
Boutique Cafe & Bakery,A cozy and picturesque B&B with stunning countryside views.,Real Estate,"Miami, USA",456 Elm St,77001,16105,https://www.restaurant.com,https://www.youtube.com/watch?v=KJ2y6Ln-sU0,2664,467,contact@business.com,+1-555-8765,+1-555-4444,-80.1918,25.7617,https://adirectory.io/bizlist/wp-content/uploads/2024/06/banner-property-2.jpg
Gourmet Fine Dining,A prime location commercial space available for businesses and startups.,Business Listing,"Dallas, USA",654 Pine Rd,90001,6275,https://www.example.com,https://www.youtube.com/watch?v=KJ2y6Ln-sU0,2319,397,support@restaurant.com,+1-555-1234,+1-555-2222,-96.797,32.7767,https://adirectory.io/bizlist/wp-content/uploads/2024/06/banner-property-1.jpg
Commercial Space for Lease,An upscale restaurant offering a gourmet dining experience with top chefs.,Restaurant,"Dallas, USA",123 Main St,77001,19788,https://www.restaurant.com,https://www.youtube.com/watch?v=KJ2y6Ln-sU0,1588,355,sales@realestate.com,+1-555-1234,+1-555-4444,-96.797,32.7767,https://adirectory.io/bizlist/wp-content/uploads/2024/06/Rectangle-40064-1.jpg
Beachfront Villa,A retail shop space available in a high-foot-traffic shopping mall.,Business Listing,"Los Angeles, USA",789 Oak St,10001,7360,https://www.restaurant.com,https://www.youtube.com/watch?v=KJ2y6Ln-sU0,1764,354,sales@realestate.com,+1-555-1234,+1-555-3333,-118.2437,34.0522,https://adirectory.io/bizlist/wp-content/uploads/2024/06/Rectangle-40065-1.jpg
Urban Loft Apartment,An upscale restaurant offering a gourmet dining experience with top chefs.,Business Listing,"San Francisco, USA",789 Oak St,90001,11408,https://www.example.com,https://www.youtube.com/watch?v=KJ2y6Ln-sU0,2185,166,sales@realestate.com,+1-555-4321,+1-555-2222,-122.4194,37.7749,https://adirectory.io/bizlist/wp-content/uploads/2024/06/Rectangle-40064-1.jpg
Spacious Office for Rent,"A stylish loft apartment in the heart of the city, perfect for professionals.",Restaurant,"Chicago, USA",789 Oak St,90001,4935,https://www.example.com,https://www.youtube.com/watch?v=KJ2y6Ln-sU0,3771,252,support@restaurant.com,+1-555-4321,+1-555-1111,-87.6298,41.8781,https://adirectory.io/bizlist/wp-content/uploads/2024/06/Rectangle-40065-1.jpg
Cozy Family Restaurant,"A stylish loft apartment in the heart of the city, perfect for professionals.",Restaurant,"Seattle, USA",654 Pine Rd,10001,14744,https://www.business.com,https://www.youtube.com/watch?v=KJ2y6Ln-sU0,4347,389,sales@realestate.com,+1-555-9876,+1-555-1111,-122.3321,47.6062,https://adirectory.io/bizlist/wp-content/uploads/2024/06/banner-property-2.jpg
Countryside Bed & Breakfast,A charming cafe and bakery with fresh pastries and artisan coffee.,Real Estate,"New York, USA",321 Maple Ave,60601,8751,https://www.restaurant.com,https://www.youtube.com/watch?v=KJ2y6Ln-sU0,847,311,contact@business.com,+1-555-1234,+1-555-2222,-74.006,40.7128,https://adirectory.io/bizlist/wp-content/uploads/2024/06/banner-property-3-1.jpg
